#URL	https://www.ncbi.nlm.nih.gov/snp/rs3737966/download/frequency
#NCBI Reference SNP (rs) Report ALPHA	rs3737966
#Current Build	155
#Released	April 26, 2021
#Organism	Homo sapiens
#Position	chr1:11787702 (GRCh38.p13)
#Alleles	C>A / C>G / C>T
#Variation Type	SNV (Single Nucleotide Variation)
#Publications	0 citations
#
#Frequency Data Table
#################
#Study	Population	Group	Samplesize	Ref Allele	Alt Allele	BioProject ID	BioSample ID
TopMed	Global	Study-wide	264690	C=0.448434	T=0.551566	PRJNA400167	
gnomAD - Genomes	Global	Study-wide	140096	C=0.450520	T=0.549480	PRJNA398795	SAMN07488253
gnomAD - Genomes	European	Sub	75874	C=0.39315	T=0.60685		SAMN10181265
gnomAD - Genomes	African	Sub	41972	C=0.62480	T=0.37520		SAMN07488254
gnomAD - Genomes	American	Sub	13648	C=0.30393	T=0.69607		SAMN07488255
gnomAD - Genomes	Ashkenazi Jewish	Sub	3324	C=0.3782	T=0.6218		SAMN07488252
gnomAD - Genomes	East Asian	Sub	3128	C=0.2353	T=0.7647		SAMN07488251
gnomAD - Genomes	Other	Sub	2150	C=0.4284	T=0.5716		SAMN07488248
8.3KJPN	JAPANESE	Study-wide	16760	C=0.19833	T=0.80167	PRJNA678214	SAMN16789458
1000Genomes	Global	Study-wide	5008	C=0.4415	T=0.5585	PRJEB6930	SAMN07490465
1000Genomes	African	Sub	1322	C=0.6460	T=0.3540		SAMN07486022
1000Genomes	East Asian	Sub	1008	C=0.2262	T=0.7738		SAMN07486024
1000Genomes	Europe	Sub	1006	C=0.3748	T=0.6252		SAMN07488239
1000Genomes	South Asian	Sub	978	C=0.586	T=0.414		SAMN07486027
1000Genomes	American	Sub	694	C=0.258	T=0.742		SAMN07488242
Genetic variation in the Estonian population	Estonian	Study-wide	4480	C=0.3741	T=0.6259	PRJNA489787	
The Avon Longitudinal Study of Parents and Children	PARENT AND CHILD COHORT	Study-wide	3854	C=0.3972	T=0.6028	PRJEB7217	
UK 10K study - Twins	TWIN COHORT	Study-wide	3708	C=0.4102	T=0.5898	PRJEB7218	
KOREAN population from KRGDB	KOREAN	Study-wide	2930	C=0.1754	A=0.0000, G=0.0000, T=0.8246	PRJNA589833	
Korean Genome Project	KOREAN	Study-wide	1832	C=0.1692	T=0.8308	PRJNA609628	
Genome of the Netherlands Release 5	Genome of the Netherlands	Study-wide	998	C=0.392	T=0.608	PRJEB5829	SAMN13000132
Northern Sweden	ACPOP	Study-wide	600	C=0.360	T=0.640	PPRJNA503394	SAMN10359154
Medical Genome Project healthy controls from Spanish population	Spanish controls	Study-wide	534	C=0.994	T=0.006	PRJEB8705	SAMN13001620
SGDP_PRJ	Global	Study-wide	444	C=0.255	T=0.745	PRJNA586841	
Qatari	Global	Study-wide	216	C=0.477	T=0.523	PRJNA288297	SAMN13019808
A Vietnamese Genetic Variation Database	Global	Study-wide	216	C=0.375	T=0.625	PRJNA515199	SAMN10744005
Siberian	Global	Study-wide	54	C=0.33	T=0.67	PRJNA267856	SAMN13113809
The Danish reference pan genome	Danish	Study-wide	40	C=0.50	T=0.50	PRJEB7725	SAMN13003120
